"",""
"Creation Date","5/6/2025 5:17:54 PM"
"Project","EDS Spectrum: Emae - 2025 | 18_773 | Area 4 | Full Area 1"
"Specimen",""
"Area",""
"Sampling Region",""
"kV","20"
"Live Time","20"
"Amp Time","3.84"
"Takeoff Angle","33.45"
"Resolution","129.4847"
"",""
"Element","Weight %","Error %"
"C  K","3.27","12.64"
"O  K","47.27","8.33"
"Na K","1.86","11.77"
"Mg K","3.13","7.6"
"Al K","7.21","5.8"
"Si K","19.08","4.82"
"K  K","0.72","10.2"
"Ca K","6.97","2.64"
"Ti K","0.59","9.82"
"Mn K","1.02","8.84"
"Fe K","8.89","2.58"
