"Element","O  K","Na K","Mg K","Al K","Si K","K  K","Ca K","Ti K","Mn K","Fe K"
18_139_1,"48.69","4.91","0.56","8.3","30.45","3.27","1.39","0.22","0.15","2.06"
18_139_2,"49.6","4.96","0.59","8.16","29.71","3.1","1.42","0.23","0.18","2.05"
18_139_3,"44.68","4.26","0.55","8.7","32.97","3.94","1.6","0.29","0.21","2.8"
18_424_2_1,"46.72","4.97","0.57","8.97","31.28","3.43","1.49","0.26","0.21","2.09"
18_424_2_2,"47.11","4.93","0.56","8.97","30.9","3.39","1.52","0.26","0.18","2.18"
18_424_2_3,"47.3","4.93","0.55","8.91","31.05","3.39","1.36","0.25","0.16","2.09"
18_547_1,"41.54","3.81","1.23","9.6","30.9","2.53","4.09","0.58","0.25","5.47"
18_547_2,"41.89","3.86","1.23","9.39","31.31","2.59","4.12","0.49","0.22","4.89"
18_547_3,"40.59","3.84","1.26","9.63","31.73","2.68","4.14","0.54","0.3","5.29"
18_554_1_1_1,"47.18","4.66","0.55","8.36","31.89","3.55","1.32","0.22","0.22","2.06"
18_554_1_1_2,"46.83","4.77","0.57","8.46","32.2","3.6","1.24","0.25","0.16","1.92"
18_554_1_1_3,"47.36","4.72","0.53","8.41","31.74","3.46","1.22","0.24","0.2","2.13"
18_554_1_2_1,"48.55","4.66","0.75","9.27","28.35","2.52","2.54","0.3","0.19","2.86"
18_554_1_2_2,"48.97","4.57","0.74","9.07","27.87","2.47","3.05","0.38","0.16","2.73"
18_554_1_2_3,"49.77","4.56","0.81","9.31","27.13","2.28","2.52","0.35","0.19","3.09"
18_554_1_3_1,"44.97","4.15","0.62","8.88","32.61","4.05","1.5","0.28","0.26","2.68"
18_554_1_3_2,"43.43","3.96","0.58","9.09","33.86","4.12","1.62","0.34","0.2","2.8"
18_554_1_3_3,"46.97","4.42","0.55","8.63","31.86","3.49","1.31","0.28","0.17","2.31"
18_554_1_4_1,"46.09","4.28","1.08","9.8","28.75","2.01","3.93","0.39","0.2","3.46"
18_554_1_4_2,"47.4","4.49","1.23","9.37","28.76","1.79","3.12","0.3","0.2","3.33"
18_554_1_4_3,"46.56","4.14","2.13","9","27.78","1.61","3.84","0.38","0.2","4.36"
18_554_1_5_1,"44.83","4.07","1.93","9.72","26.76","1.5","4.82","0.51","0.24","5.63"
18_554_1_5_2,"43.98","4.09","1.81","9.8","26.94","1.52","4.95","0.5","0.26","6.15"
18_554_1_5_3,"44.44","3.92","1.93","9.78","26.5","1.58","4.91","0.52","0.25","6.17"
18_565_2_1,"47.39","3.77","0.68","8.36","32.97","4.19","0.98","0.21","0.14","1.05"
18_565_2_2,"46.41","3.63","0.7","8.48","33.6","4.52","1.21","0.25","0.12","1.08"
